date,NH4_Load_mg
1/1/2008,137717539.4
1/2/2008,185670312.4
1/3/2008,121159942.4
1/4/2008,15081740.2
1/5/2008,49448939.98
1/6/2008,104675728.7
1/7/2008,67852487.95
1/8/2008,164136965
1/9/2008,100162414.7
1/10/2008,103924452.1
1/11/2008,92800995.53
1/12/2008,163191802.5
1/13/2008,159060535.7
1/14/2008,236041148.6
1/15/2008,157578809.2
1/16/2008,93909474.02
1/17/2008,94738605.07
1/18/2008,180301086.5
1/19/2008,196898044.3
1/20/2008,453413804.2
1/21/2008,333293298.2
1/22/2008,76104205.34
1/23/2008,97216758.92
1/24/2008,124312222.2
1/25/2008,225591323.8
1/26/2008,98874520.65
1/27/2008,125554041.9
1/28/2008,108511250.3
1/29/2008,81252808.04
1/30/2008,59342403.46
1/31/2008,44746240.35
2/1/2008,72903846.27
2/2/2008,79007839.64
2/3/2008,89760814.12
2/4/2008,80500686.45
2/5/2008,55625170.59
2/6/2008,52293878.09
2/7/2008,69110925.45
2/8/2008,14150800.73
2/9/2008,71243278.56
2/10/2008,130372632.6
2/11/2008,177068437.6
2/12/2008,89323149.6
2/13/2008,665694169.3
2/14/2008,760282228.5
2/15/2008,377871096.9
2/16/2008,172812245.5
2/17/2008,252249031.7
2/18/2008,324763722.6
2/19/2008,229130684.4
2/20/2008,167249690.4
2/21/2008,154918096.4
2/22/2008,217012625.7
2/23/2008,253757741.6
2/24/2008,219399915.6
2/25/2008,189527184.9
2/26/2008,206912671
2/27/2008,161563912
2/28/2008,159895370.3
2/29/2008,150774592.3
3/1/2008,144880614
3/2/2008,153184167.6
3/3/2008,118008473.7
3/4/2008,116712121.4
3/5/2008,122890637.5
3/6/2008,129030450
3/7/2008,1277422050
3/8/2008,850557712.5
3/9/2008,384042472.1
3/10/2008,464616553.3
3/11/2008,212063901.6
3/12/2008,994507306.5
3/13/2008,102153454.2
3/14/2008,122974351.4
3/15/2008,149483119.4
3/16/2008,245075006.1
3/17/2008,382271481.5
3/18/2008,123080250
3/19/2008,121464926.4
3/20/2008,113692171.6
3/21/2008,109458675
3/22/2008,151715696
3/23/2008,296255009.8
3/24/2008,478974687.9
3/25/2008,449702396.5
3/26/2008,377165395.1
3/27/2008,121147885.2
3/28/2008,113122995.1
3/29/2008,153663555.8
3/30/2008,131813245.5
3/31/2008,112813038.4
4/1/2008,113932042.6
4/2/2008,395449333.9
4/3/2008,237840311.6
4/4/2008,148947886.2
4/5/2008,193789603.6
4/6/2008,426905417
4/7/2008,2848249808
4/8/2008,1625745955
4/9/2008,567870404
4/10/2008,603003364.6
4/11/2008,434283586.9
4/12/2008,366827881.1
4/13/2008,302009011.2
4/14/2008,189320902.3
4/15/2008,150820536.7
4/16/2008,92484068.22
4/17/2008,95207264.08
4/18/2008,99434148.57
4/19/2008,101285550.4
4/20/2008,79565848.77
4/21/2008,48736192.64
4/22/2008,19599131.14
4/23/2008,15578395.96
4/24/2008,15479280.46
4/25/2008,15752246.49
4/26/2008,16996935.79
4/27/2008,18324600.3
4/28/2008,9008356.219
4/29/2008,19766219.37
4/30/2008,18999669.6
5/1/2008,11962992.09
5/2/2008,12695347.47
5/3/2008,15386323.65
5/4/2008,16408373.16
5/5/2008,12616056.96
5/6/2008,14441392.59
5/7/2008,23306793.95
5/8/2008,14133622.4
5/9/2008,16788917.75
5/10/2008,37610234.23
5/11/2008,44500418.74
5/12/2008,18427110.1
5/13/2008,31887754.55
5/14/2008,17393677.75
5/15/2008,12937084.15
5/16/2008,13238705.16
5/17/2008,28943696.5
5/18/2008,28807589.15
5/19/2008,16486612.69
5/20/2008,16398514.26
5/21/2008,21303083.99
5/22/2008,14476810.48
5/23/2008,28006817.13
5/24/2008,45123834.21
5/25/2008,44814959.63
5/26/2008,38543216.26
5/27/2008,37450283.26
5/28/2008,32584452.01
5/29/2008,17931180.53
5/30/2008,9543846.549
5/31/2008,4876440.981
6/1/2008,11711051.5
6/2/2008,20430161.29
6/3/2008,11274445.99
6/4/2008,9112025.964
6/5/2008,8813603.349
6/6/2008,16492743.9
6/7/2008,7258255.673
6/8/2008,3590471.943
6/9/2008,0
6/10/2008,5000387.626
6/11/2008,24664542.3
6/12/2008,8587244.707
6/13/2008,2304527.37
6/14/2008,15518506.54
6/15/2008,19156889.61
6/16/2008,2713907.031
6/17/2008,29544430.38
6/18/2008,5810714.785
6/19/2008,29719129.85
6/20/2008,33574286.32
6/21/2008,42339496.22
6/22/2008,20378015.29
6/23/2008,99841224.96
6/24/2008,81825612.54
6/25/2008,92533475.07
6/26/2008,125966418.1
6/27/2008,334392158.3
6/28/2008,403525591
6/29/2008,678659167.2
6/30/2008,1110299287
7/1/2008,940537706.9
7/2/2008,1010556226
7/3/2008,2248264402
7/4/2008,1969311156
7/5/2008,1089800807
7/6/2008,1100736467
7/7/2008,2228134950
7/8/2008,2756103913
7/9/2008,1901663198
7/10/2008,1491982196
7/11/2008,986232756
7/12/2008,1015056019
7/13/2008,2303761565
7/14/2008,2008192066
7/15/2008,1674831118
7/16/2008,1524700606
7/17/2008,1543795383
7/18/2008,1484646269
7/19/2008,1321509224
7/20/2008,1292542061
7/21/2008,1198567823
7/22/2008,1139644770
7/23/2008,1393804899
7/24/2008,1421040135
7/25/2008,1291144902
7/26/2008,1201825139
7/27/2008,999359871.4
7/28/2008,881087696.1
7/29/2008,707049840.2
7/30/2008,753387549.5
7/31/2008,672956611.7
8/1/2008,589766719.9
8/2/2008,529016340.2
8/3/2008,583375424.2
8/4/2008,493966015.5
8/5/2008,420633690.5
8/6/2008,365601115.9
8/7/2008,434200529.1
8/8/2008,502364126.7
8/9/2008,483524788.3
8/10/2008,482540116.8
8/11/2008,426685383.9
8/12/2008,416526621.2
8/13/2008,276753376.3
8/14/2008,333108310.7
8/15/2008,548553752.6
8/16/2008,431506869.4
8/17/2008,665885813.6
8/18/2008,1205185921
8/19/2008,7875736125
8/20/2008,13502083023
8/21/2008,13803275368
8/22/2008,11983997654
8/23/2008,10021228689
8/24/2008,8374781668
8/25/2008,6754343258
8/26/2008,5563004136
8/27/2008,3503091816
8/28/2008,2868581154
8/29/2008,2560188477
8/30/2008,2232047526
8/31/2008,2019244129
