Date,3A-NW,2A-17,3A-3,3A-4,3A-28
1-Jan-08,11.35,12.46,,9.8,9.49
2-Jan-08,11.33,12.43,,9.76,9.46
3-Jan-08,11.3,12.4,,9.74,9.45
4-Jan-08,11.29,12.39,,9.72,9.45
5-Jan-08,11.28,12.39,,9.72,9.45
6-Jan-08,11.27,12.39,,9.72,9.45
7-Jan-08,11.26,12.39,,9.72,9.44
8-Jan-08,11.24,12.38,,9.72,9.44
9-Jan-08,11.23,12.36,,9.71,9.42
10-Jan-08,11.21,12.35,,9.7,9.41
11-Jan-08,11.19,12.33,,9.69,9.39
12-Jan-08,11.18,12.32,,9.68,9.38
13-Jan-08,11.17,12.31,,9.67,9.38
14-Jan-08,11.15,12.3,,9.66,9.38
15-Jan-08,11.11,12.28,,9.65,9.38
16-Jan-08,11.09,12.26,,9.64,9.36
17-Jan-08,11.08,12.25,,9.64,9.35
18-Jan-08,11.08,12.24,,9.64,9.33
19-Jan-08,11.11,12.22,,9.63,9.32
20-Jan-08,11.3,12.21,,9.63,9.31
21-Jan-08,11.29,12.2,,9.62,9.31
22-Jan-08,11.28,12.19,,9.62,9.31
23-Jan-08,11.27,12.18,,9.62,9.31
24-Jan-08,11.25,12.17,,9.61,9.3
25-Jan-08,11.23,12.15,,9.6,9.29
26-Jan-08,11.2,12.13,,9.59,9.29
27-Jan-08,11.19,12.11,,9.58,9.28
28-Jan-08,11.15,12.09,,9.56,9.26
29-Jan-08,11.12,12.06,,9.55,9.25
30-Jan-08,11.1,12.04,,9.54,9.23
31-Jan-08,11.06,12.03,,9.53,9.22
1-Feb-08,11.03,12.01,,9.52,9.21
2-Feb-08,11.01,11.99,,9.51,9.2
3-Feb-08,10.98,11.97,,9.49,9.18
4-Feb-08,10.95,11.95,,9.49,9.17
5-Feb-08,10.92,11.93,,9.47,9.16
6-Feb-08,10.89,11.91,,9.46,9.14
7-Feb-08,10.87,11.89,,9.45,9.12
8-Feb-08,10.84,11.84,,9.44,9.11
9-Feb-08,10.82,11.81,,9.42,9.1
10-Feb-08,10.79,11.8,,9.4,9.1
11-Feb-08,10.75,11.78,,9.38,9.09
12-Feb-08,10.82,11.76,,9.38,9.08
13-Feb-08,11.48,11.9,,9.57,9.25
14-Feb-08,11.52,11.95,,9.66,9.33
15-Feb-08,11.5,11.96,,9.65,9.33
16-Feb-08,11.48,11.96,,9.64,9.33
17-Feb-08,11.46,11.96,,9.63,9.33
18-Feb-08,11.45,11.96,,9.63,9.33
19-Feb-08,11.43,11.93,,9.62,9.32
20-Feb-08,11.43,11.91,,9.61,9.32
21-Feb-08,11.42,11.91,,9.61,9.32
22-Feb-08,11.41,11.99,,9.61,9.33
23-Feb-08,11.41,12.1,,9.61,9.32
24-Feb-08,11.4,12.18,,9.61,9.31
25-Feb-08,11.4,12.23,,9.61,9.31
26-Feb-08,11.39,12.24,,9.61,9.31
27-Feb-08,11.42,12.24,,9.6,9.3
28-Feb-08,11.42,12.23,,9.58,9.29
29-Feb-08,11.41,12.21,,9.57,9.29
1-Mar-08,11.41,12.19,,9.57,9.29
2-Mar-08,11.44,12.16,,9.57,9.29
3-Mar-08,11.49,12.13,,9.57,9.29
4-Mar-08,11.54,12.13,,9.57,9.29
5-Mar-08,11.58,12.13,,9.57,9.28
6-Mar-08,11.64,12.14,,9.58,9.29
7-Mar-08,11.77,12.28,,9.6,9.28
8-Mar-08,11.77,12.25,,9.61,9.28
9-Mar-08,11.75,12.21,,9.6,9.28
10-Mar-08,11.74,12.19,,9.59,9.28
11-Mar-08,11.72,12.18,,9.59,9.28
12-Mar-08,11.71,12.17,,9.59,9.28
13-Mar-08,11.7,12.17,,9.58,9.27
14-Mar-08,11.72,12.18,,9.57,9.26
15-Mar-08,11.74,12.21,,9.56,9.26
16-Mar-08,11.76,12.22,,9.56,9.25
17-Mar-08,11.78,12.22,,9.55,9.24
18-Mar-08,11.78,12.2,,9.55,9.23
19-Mar-08,11.79,12.19,,9.55,9.22
20-Mar-08,11.79,12.19,,9.54,9.21
21-Mar-08,11.79,12.17,,9.52,9.2
22-Mar-08,11.8,12.17,,9.52,9.22
23-Mar-08,11.86,12.24,,9.57,9.26
24-Mar-08,11.86,12.33,,9.59,9.26
25-Mar-08,11.84,12.32,,9.57,9.26
26-Mar-08,11.82,12.31,,9.57,9.26
27-Mar-08,11.8,12.3,,9.57,9.26
28-Mar-08,11.78,12.29,,9.57,9.26
29-Mar-08,11.76,12.28,,9.56,9.25
30-Mar-08,11.75,12.27,,9.55,9.24
31-Mar-08,11.75,12.25,,9.54,9.24
1-Apr-08,11.78,12.24,,9.54,9.23
2-Apr-08,11.81,12.22,,9.55,9.22
3-Apr-08,11.82,12.21,,9.56,9.25
4-Apr-08,11.82,12.19,,9.56,9.24
5-Apr-08,11.8,12.17,,9.55,9.22
6-Apr-08,11.97,12.21,,9.6,9.27
7-Apr-08,12.24,12.64,,9.79,9.43
8-Apr-08,12.19,12.62,,9.8,9.44
9-Apr-08,12.16,12.6,,9.79,9.44
10-Apr-08,12.17,12.6,,9.78,9.44
11-Apr-08,12.18,12.61,,9.78,9.44
12-Apr-08,12.17,12.65,,9.78,9.44
