Date,MIA,NNR,WPB,S2PMP,S3PMP
1-Jan-08,0,424,0,0,0
2-Jan-08,0,273,0,0,0
3-Jan-08,0,52,0,0,0
4-Jan-08,0,28,0,0,0
5-Jan-08,0,46,0,0,0
6-Jan-08,0,0,0,0,0
7-Jan-08,0,0,0,0,0
8-Jan-08,0,0,0,0,0
9-Jan-08,0,0,0,0,0
10-Jan-08,0,0,0,0,0
11-Jan-08,0,0,0,0,0
12-Jan-08,0,0,0,0,0
13-Jan-08,0,0,0,0,0
14-Jan-08,0,0,0,0,0
15-Jan-08,0,0,0,0,0
16-Jan-08,0,0,0,0,0
17-Jan-08,0,59,0,0,0
18-Jan-08,0,49,0,0,0
19-Jan-08,0,0,0,0,0
20-Jan-08,0,14,0,0,0
21-Jan-08,0,0,0,0,0
22-Jan-08,0,24,0,0,0
23-Jan-08,0,216,0,0,0
24-Jan-08,0,0,0,0,0
25-Jan-08,0,102,0,0,0
26-Jan-08,0,10,0,0,0
27-Jan-08,0,28,0,0,0
28-Jan-08,0,153,0,0,0
29-Jan-08,0,180,0,0,0
30-Jan-08,0,76,0,0,0
31-Jan-08,0,67,0,0,0
1-Feb-08,0,33,0,0,0
2-Feb-08,0,0,0,0,0
3-Feb-08,0,0,0,0,0
4-Feb-08,0,0,0,0,0
5-Feb-08,0,20,0,0,0
6-Feb-08,0,0,0,0,0
7-Feb-08,0,0,0,0,0
8-Feb-08,0,0,0,0,0
9-Feb-08,0,0,0,0,0
10-Feb-08,0,32,0,0,0
11-Feb-08,0,0,0,0,0
12-Feb-08,0,0,0,0,0
13-Feb-08,0,0,0,349.5,0
14-Feb-08,0,0,0,1085.12,0
15-Feb-08,0,110,0,350.6,0
16-Feb-08,0,242,0,0,0
17-Feb-08,0,315,0,0,0
18-Feb-08,0,0,0,0,0
19-Feb-08,0,0,0,0,0
20-Feb-08,0,0,0,0,0
21-Feb-08,0,45,0,0,0
22-Feb-08,0,58,0,0,0
23-Feb-08,0,0,0,0,0
24-Feb-08,0,0,0,0,0
25-Feb-08,0,35,0,0,0
26-Feb-08,0,15,0,0,0
27-Feb-08,0,265,0,0,0
28-Feb-08,0,151,0,0,0
29-Feb-08,0,103,0,0,0
1-Mar-08,0,56,0,0,0
2-Mar-08,0,24,0,0,0
3-Mar-08,0,77,0,0,0
4-Mar-08,0,0,0,0,0
5-Mar-08,0,103,0,0,0
6-Mar-08,0,0,0,0,0
7-Mar-08,0,179,0,0,0
8-Mar-08,0,0,0,0,0
9-Mar-08,0,0,0,0,0
10-Mar-08,0,0,0,0,0
11-Mar-08,0,0,0,0,0
12-Mar-08,0,370,0,0,0
13-Mar-08,0,291,0,0,0
14-Mar-08,0,296,0,0,0
15-Mar-08,0,0,0,0,0
16-Mar-08,0,0,0,0,0
17-Mar-08,0,0,0,0,0
18-Mar-08,0,0,0,0,0
19-Mar-08,0,0,0,0,0
20-Mar-08,0,0,0,0,0
21-Mar-08,0,0,0,0,0
22-Mar-08,0,0,0,0,0
23-Mar-08,0,82,0,0,0
24-Mar-08,0,242,0,0,0
25-Mar-08,0,513,0,0,0
26-Mar-08,0,142,0,0,0
27-Mar-08,0,0,0,0,0
28-Mar-08,0,0,0,0,0
29-Mar-08,0,0,0,0,0
30-Mar-08,0,0,0,0,0
31-Mar-08,0,0,0,0,0
1-Apr-08,0,0,0,0,0
2-Apr-08,0,0,0,0,0
3-Apr-08,0,0,0,0,0
4-Apr-08,0,0,0,0,0
5-Apr-08,0,0,0,0,0
6-Apr-08,0,0,0,0,0
7-Apr-08,0,145,0,0,0
8-Apr-08,0,0,0,0,0
9-Apr-08,0,0,0,0,0
10-Apr-08,0,0,0,0,0
11-Apr-08,0,0,0,0,0
12-Apr-08,0,0,0,0,0
13-Apr-08,0,0,0,0,0
14-Apr-08,0,0,0,0,0
15-Apr-08,0,0,0,0,0
16-Apr-08,0,0,0,0,0
17-Apr-08,0,0,0,0,0
18-Apr-08,0,0,0,0,0
19-Apr-08,0,0,0,0,0
20-Apr-08,0,0,0,0,0
21-Apr-08,0,0,0,0,0
22-Apr-08,0,0,0,0,0
23-Apr-08,0,0,0,0,0
24-Apr-08,0,0,0,0,0
25-Apr-08,0,0,0,0,0
26-Apr-08,0,0,0,0,0
27-Apr-08,0,0,0,0,0
28-Apr-08,0,0,0,0,0
29-Apr-08,0,0,0,0,0
30-Apr-08,0,0,0,0,0
1-May-08,0,0,0,0,0
2-May-08,0,0,0,0,0
3-May-08,0,0,0,0,0
4-May-08,0,84,0,0,0
5-May-08,0,0,0,0,0
6-May-08,0,0,0,0,0
7-May-08,0,0,0,0,0
