Date,ShearStress
1/1/2008,0.704209771
1/2/2008,0.933281597
1/3/2008,0.98522383
1/4/2008,0.762730599
1/5/2008,0.657568758
1/6/2008,0.621356001
1/7/2008,0.616287689
1/8/2008,0.551817976
1/9/2008,0.456345091
1/10/2008,0.525402985
1/11/2008,0.581012908
1/12/2008,0.450209472
1/13/2008,0.544137221
1/14/2008,0.817951156
1/15/2008,0.830524269
1/16/2008,0.815930382
1/17/2008,0.737643653
1/18/2008,0.508628837
1/19/2008,0.679451095
1/20/2008,0.945786322
1/21/2008,0.845507193
1/22/2008,0.663574223
1/23/2008,0.290202727
1/24/2008,0.607137723
1/25/2008,0.848621404
1/26/2008,0.533342632
1/27/2008,0.810651855
1/28/2008,0.718409309
1/29/2008,0.653474672
1/30/2008,0.600013935
1/31/2008,0.599483476
2/1/2008,0.634548136
2/2/2008,0.604762503
2/3/2008,0.483987671
2/4/2008,0.568206263
2/5/2008,0.735399968
2/6/2008,0.783423226
2/7/2008,0.785660956
2/8/2008,0.659202267
2/9/2008,0.487751382
2/10/2008,0.88671155
2/11/2008,0.850554715
2/12/2008,0.794973725
2/13/2008,0.849062396
2/14/2008,0.758306377
2/15/2008,0.670514639
2/16/2008,0.671312068
2/17/2008,0.727980034
2/18/2008,0.777508841
2/19/2008,0.794670709
2/20/2008,0.779416132
2/21/2008,0.724384517
2/22/2008,0.730669142
2/23/2008,0.783801982
2/24/2008,0.670967513
2/25/2008,0.608079297
2/26/2008,0.799688151
2/27/2008,0.887814871
2/28/2008,0.839279694
2/29/2008,0.782461272
3/1/2008,0.690320529
3/2/2008,0.739489616
3/3/2008,0.766351594
3/4/2008,0.751187005
3/5/2008,0.679215432
3/6/2008,0.641999522
3/7/2008,0.833874761
3/8/2008,0.924937391
3/9/2008,0.846482891
3/10/2008,0.766376073
3/11/2008,0.555560445
3/12/2008,0.741162826
3/13/2008,0.718433939
3/14/2008,0.603533034
3/15/2008,0.766801226
3/16/2008,0.738670453
3/17/2008,0.844518259
3/18/2008,0.852280778
3/19/2008,0.838958672
3/20/2008,0.850232707
3/21/2008,0.811249514
3/22/2008,0.586790209
3/23/2008,0.608036315
3/24/2008,0.816962017
3/25/2008,0.863368733
3/26/2008,0.724613717
3/27/2008,0.636583187
3/28/2008,0.620240958
3/29/2008,0.581881787
3/30/2008,0.647908334
3/31/2008,0.782541018
4/1/2008,0.729792901
4/2/2008,0.620071598
4/3/2008,0.754194369
4/4/2008,0.8130769
4/5/2008,0.807194543
4/6/2008,0.778936625
4/7/2008,0.702248112
4/8/2008,0.716350834
4/9/2008,0.757399434
4/10/2008,0.664054845
4/11/2008,0.664459966
4/12/2008,0.568845875
4/13/2008,0.684549042
4/14/2008,0.776964243
4/15/2008,0.823789322
4/16/2008,0.838717673
4/17/2008,0.751864706
4/18/2008,0.600576664
4/19/2008,0.593038751
4/20/2008,0.574778777
4/21/2008,0.640210852
4/22/2008,0.679750891
4/23/2008,0.732434282
